1;14.03.2017;tirsdag;20:00;Austrått 1;3 - 1;Bogafjell 1;Iglemyr kunstgressbane;G15 1. div avd 01;11115101001
1;15.03.2017;onsdag;20:00;Austrått 1;0 - 5;Bryne 3;Iglemyr kunstgressbane;G19 1. div avd 01;11119101001
2;21.03.2017;tirsdag;20:00;Egersunds 2;3 - 5;Austrått 1;Kiwi Banen Bakkebø;G15 1. div avd 01;11115101008
2;22.03.2017;onsdag;20:00;Vardeneset 1;5 - 0;Austrått 1;Vardeneset kunstgress 1- Modenabanen;G19 1. div avd 01;11119101008
1;25.03.2017;lørdag;15:00;Staal Jørpeland;5 - 2;Austrått;Jørpeland kunstgress hoved;Kvalifisering NM Menn 2017;99120901043
3;28.03.2017;tirsdag;19:00;Austrått 1;3 - 0;Finnøy 1;Iglemyr kunstgressbane;G15 1. div avd 01;11115101015
3;29.03.2017;onsdag;20:00;Austrått 1;5 - 4;Hinna 2;Iglemyr kunstgressbane;G19 1. div avd 01;11119101015
1;31.03.2017;fredag;18:00;Austrått;8 - 0;Avaldsnes;Iglemyr gras;M 4 div 2017 avdeling 02;11120402001
4;04.04.2017;tirsdag;20:00;Viking 2;6 - 3;Austrått 1;Vestbanen;G15 1. div avd 01;11115101023
1;05.04.2017;onsdag;20:00;Hana 1;4 - 3;Austrått 2;Hanabanen;G19 2. div avd 02;11119202004
2;06.04.2017;torsdag;19:00;Djerv 1919;5 - 1;Austrått;Djervbanen;M 4 div 2017 avdeling 02;11120402008
1;18.04.2017;tirsdag;17:00;Bogafjell 1;-;Austrått 1;;G12 Nivå 2 avd 06;11112206002
1;18.04.2017;tirsdag;17:10;Austrått 1;-;Bogafjell 1;;J12 Nivå 2 avd 02;11212202001
1;18.04.2017;tirsdag;18:00;Austrått 1;-;Bogafjell 3;;G11 Nivå 2 avd 08;11111208001
1;18.04.2017;tirsdag;18:00;Voll 2;-;Austrått 2;;J12 Nivå 2 avd 04;11212204005
1;18.04.2017;tirsdag;18:00;Austrått 2;-;Rosseland 2;;J11 Nivå 2 avd 04;11211204004
1;18.04.2017;tirsdag;18:00;Austrått 2;-;Midtbygdens 1;;G12 Nivå 2 avd 05;11112205005
1;18.04.2017;tirsdag;18:00;Lura 2;-;Austrått 3;;G12 Nivå 3 avd 02;11112302002
1;18.04.2017;tirsdag;18:30;Austrått /Hana 1;1 - 2;Frøyland 1;Iglemyr kunstgressbane;J13 2. div avd 02 Vårserie;11213202001
5;18.04.2017;tirsdag;20:00;Austrått 1;5 - 2;Hundvåg 1;Iglemyr kunstgressbane;G15 1. div avd 01;11115101029
1;19.04.2017;onsdag;18:00;Austrått 3;-;Sviland 1;;G10 Nivå 3 avd 02;11110302001
1;19.04.2017;onsdag;18:30;Austrått 2;2 - 3;Randaberg 2;;G16 7er avd 01;11116701005
6;19.04.2017;onsdag;20:00;Varhaug 1;4 - 1;Austrått 1;Varhaug Kunstgress 1;G19 1. div avd 01;11119101038
1;20.04.2017;torsdag;20:00;Bryne 2;4 - 5;Austrått 1;Aarbakkebanen Bryne;G16 1. div avd 01;11116101004
3;21.04.2017;fredag;19:00;Austrått;3 - 5;Frøyland;Iglemyr gras;M 4 div 2017 avdeling 02;11120402015
5;23.04.2017;søndag;19:00;Austrått 1;4 - 1;Klepp 1;Iglemyr kunstgressbane;G19 1. div avd 01;11119101029
2;24.04.2017;mandag;17:30;Austrått 1;5 - 0;Eiger 1;Iglemyr kunstgressbane;G16 1. div avd 01;11116101006
2;24.04.2017;mandag;19:00;Austrått 2;3 - 2;Brusand 1;Iglemyr kunstgressbane;G19 2. div avd 02;11119202006
1;24.04.2017;mandag;19:00;Austrått 2;1 - 3;Figgjo;Iglemyr gras;M 5 div 2017 avdeling 02;11120502001
2;24.04.2017;mandag;19:15;Varhaug 1;1 - 3;Austrått /Hana 1;Varhaug Kunstgress 2;J13 2. div avd 02 Vårserie;11213202005
2;25.04.2017;tirsdag;17:00;Bogafjell 3;-;Austrått 2;;G12 Nivå 2 avd 05;11112205010
2;25.04.2017;tirsdag;17:15;Bryne 2;-;Austrått 1;;G11 Nivå 2 avd 08;11111208006
2;25.04.2017;tirsdag;18:00;Austrått 3;-;Egersunds 2;;J12 Nivå 2 avd 05;11212205009
2;25.04.2017;tirsdag;18:00;Nærbø 1;-;Austrått 2;;J11 Nivå 2 avd 04;11211204007
2;25.04.2017;tirsdag;18:00;Austrått 1;-;Sandved 2;;G12 Nivå 2 avd 06;11112206008
